Graph Name: CollegeMsg.txt
Motif Name: Bi-Fan.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.123177    8489
0.0792582    0
0.079706    1
0.0807388    1
0.082731    3
0.0792961    3
0.0792701    2
0.079756    1
0.0834961    2
0.0810969    5
0.0811992    3
0.0784721    7
0.080164    6
0.09391    2
0.085021    2
0.079212    4
0.0746942    4
0.0937791    4
0.0606649    1
0.0661561    0
0.0992029    2
0.0784371    4
0.038255    0
0.0916579    2
0.092556    1
0.150428    1
0.11018    1
0.0837462    2
0.10235    5
0.0807569    5
0.0794859    4
0.079756    4
0.0801389    3
0.11678    0
0.0851991    3
0.109195    3
0.082031    2
0.0796809    4
0.101932    4
0.108729    3
0.115205    0
0.081079    1
0.0801511    1
0.09009    2
0.0791612    2
0.0814831    1
0.078774    2
0.114529    2
0.105373    3
0.0910718    4
0.0797338    0
0.0803459    3
0.0808611    1
0.0824499    3
0.148109    3
0.104069    1
0.0813129    5
0.107454    1
0.080945    0
0.078907    2
0.0802481    3
0.0789969    3
0.110939    3
0.0859902    0
0.092963    3
0.082135    2
0.0787649    0
0.085031    1
0.105774    2
0.112626    6
0.078738    1
0.0792201    0
0.102433    3
0.0883958    2
0.102021    0
0.0786579    4
0.113982    2
0.087322    1
0.102515    1
0.0830629    2
0.079215    1
0.0849061    3
0.0796719    3
0.14255    1
0.104443    3
0.0847571    3
0.0866978    1
0.083153    3
0.078948    3
0.083369    2
0.140745    3
0.0919299    2
0.0785758    4
0.0855541    9
0.089076    2
0.094574    2
0.092397    1
0.079246    2
0.0917261    3
0.079109    4
0.0811899    5
0.0925379    4
0.090075    2
0.100577    0
0.0806439    2
0.109802    3
0.0904658    2
0.102406    1
0.103262    3
0.078954    3
0.08042    2
0.0827758    3
0.112493    4
0.0923679    0
0.0796669    1
0.0791371    0
0.089165    2
0.102898    2
0.0919189    1
0.104952    5
0.103264    2
0.080312    3
0.0792789    3
0.080416    4
0.0804372    0
0.0794239    5
0.0789728    1
0.081279    2
0.0981641    1
0.101288    1
0.0944641    3
0.0797851    2
0.080565    3
