Graph Name: CollegeMsg.txt
Motif Name: M-3-1.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.0871351    73748
0.078016    188
0.0773151    170
0.0870709    160
0.0650489    138
0.0758429    148
0.076561    159
0.0789678    148
0.087744    181
0.0775919    153
0.0773091    237
0.0818322    164
0.0706139    163
0.0921528    206
0.0770979    126
0.0839698    165
0.0824139    174
0.076611    168
0.0879109    177
0.0799079    159
0.0726368    157
0.077544    138
0.0900402    145
0.101165    163
0.0969288    165
0.0775201    184
0.0795519    170
0.0965879    156
0.0952609    154
0.090076    135
0.076153    186
0.0766878    117
0.104587    198
0.0779369    150
0.105482    161
0.10513    143
0.0770319    166
0.0889959    163
0.101576    168
0.0990541    178
0.081032    199
0.0770071    154
0.105299    156
0.0764141    149
0.0818942    156
0.092241    133
0.103541    165
0.0837929    138
0.0853739    138
0.0770278    166
0.074229    183
0.0898092    157
0.108874    162
0.0760949    132
0.08446    146
0.10027    157
0.0924571    176
0.068795    179
0.0492651    209
0.079272    158
0.091053    133
0.076663    146
0.077544    161
0.109126    161
0.093863    177
0.0950098    160
0.077481    143
0.078433    165
0.093673    191
0.101301    194
0.0947001    164
0.0766749    173
0.058872    148
0.093462    180
0.0781758    147
0.082598    155
0.082916    152
0.106947    170
0.093775    143
0.0787899    210
0.0768771    139
0.0502529    173
0.0773959    167
0.084547    158
0.0771611    156
0.0770199    124
0.0791299    146
0.0826519    141
0.062753    173
0.0782371    169
0.087904    148
0.097774    139
0.092515    172
0.0777969    211
0.0780082    205
0.0818841    147
0.0739932    147
0.0801542    171
0.089004    176
0.104257    167
0.0904548    195
0.0799539    139
0.07686    146
0.114108    149
0.0906641    170
0.083529    159
0.085428    198
0.07758    197
0.086334    156
0.079675    170
0.0782671    170
0.0652461    163
0.10357    165
0.093719    180
0.0768831    152
0.0785811    185
0.0914059    147
0.0806942    162
0.0767701    190
0.0857718    174
0.0706019    175
0.076081    166
0.0905979    162
0.078068    133
0.09782    202
0.0929799    184
0.101901    194
0.0957658    159
0.078753    174
0.076735    197
0.0795271    180
0.107063    159
0.104712    189
0.077522    168
0.0787101    144
0.070132    145
0.0955851    204
0.0949728    180
0.0779042    154
0.0770822    159
0.095794    190
0.066015    165
0.076942    191
0.0771101    172
0.0769422    164
0.0783119    156
0.082351    175
0.077183    163
0.0825939    136
0.080075    164
0.077419    174
0.0967319    169
0.077441    178
0.0778072    168
0.091423    156
0.0926659    114
0.0998359    169
0.0601451    141
0.0762479    176
0.0864961    150
0.077214    170
0.0769529    167
0.0939331    157
0.096972    166
0.085278    150
0.0628018    142
0.0850661    182
0.0931129    195
0.11323    181
0.076617    182
0.0985539    179
0.097965    159
0.0971808    159
0.076931    133
0.100649    159
0.100963    153
0.0915031    186
0.0900519    144
0.0827911    182
0.091979    175
0.103211    187
0.0965059    187
0.0770872    159
0.0866499    159
0.102211    164
0.0936501    161
0.0765569    161
0.080622    142
0.0739038    123
0.0885389    149
0.0768402    158
0.094893    150
0.10455    156
0.0965469    160
0.0697761    177
0.0745239    154
0.107773    166
0.09091    169
0.107027    161
0.0788829    174
0.106101    177
0.082247    140
0.100431    165
0.0769341    201
0.0985808    153
0.0974779    154
0.0982609    163
0.076211    154
0.059561    138
0.07675    159
0.0770941    185
0.080339    196
0.0762379    138
0.0798409    158
0.0826619    176
0.077112    169
0.110923    196
0.0760999    193
0.0890179    198
0.0956311    165
0.090255    199
0.076597    162
0.0884471    172
0.083338    165
0.0581191    150
0.0775499    132
0.0785558    158
0.077049    201
0.0774219    152
0.0859289    144
0.076364    148
0.076371    164
0.101872    151
0.076818    181
0.0778551    163
0.0783219    145
0.099879    174
0.0956221    166
0.0747871    154
0.0771911    166
0.100523    126
0.082361    187
0.0884111    179
0.085036    190
0.103776    171
0.091161    161
0.107344    165
0.078896    149
0.0762782    147
0.077507    158
0.0908599    170
